NAME,AltNames,Notes,Families,Density,Density U,LHV,LHV U,HHV,HHV U,MarketVal,MarketVal U,Cratio(Mass),Sratio(Mass),IsPrimary,MemberGroups,OptionalID
"water->unspecified:Naphthalene, 2-methyl-",,,,,,,,,,,,,,,,
"water->unspecified:Naphthalenes, alkylated, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Nickel,,,,,,,,,,,,,,,,
"water->unspecified:Nitrogen, total",,,,,,,,,,,,,,,,
water->unspecified:o-Cresol,,,,,,,,,,,,,,,,
water->unspecified:o-Xylene,,,,,,,,,,,,,,,,
water->unspecified:Octadecane,,,,,,,,,,,,,,,,
"water->unspecified:Oils, unspecified",,,,,,,,,,,,,,,,
water->unspecified:p-Cresol,,,,,,,,,,,,,,,,
water->unspecified:p-Xylene,,,,,,,,,,,,,,,,
water->unspecified:Phenanthrene,,,,,,,,,,,,,,,,
"water->unspecified:Phenanthrenes, alkylated, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Phenol,,,,,,,,,,,,,,,,
"water->unspecified:Phenol, 2,4-dimethyl-",,,,,,,,,,,,,,,,
"water->unspecified:Phenols, unspecified",,,,,,,,,,,,,,,,
"water->unspecified:Radioactive species, Nuclides, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Radium-226/kg,,,,,,,,,,,,,,,,
water->unspecified:Radium-228/kg,,,,,,,,,,,,,,,,
water->unspecified:Selenium,,,,,,,,,,,,,,,,
water->unspecified:Silver,,,,,,,,,,,,,,,,
"water->unspecified:Sodium, ion",,,,,,,,,,,,,,,,
water->unspecified:Strontium,,,,,,,,,,,,,,,,
water->unspecified:Styrene,,,,,,,,,,,,,,,,
water->unspecified:Sulfate,,,,,,,,,,,,,,,,
water->unspecified:Sulfide,,,,,,,,,,,,,,,,
water->unspecified:Sulfur,,,,,,,,,,,,,,,,
water->unspecified:Surfactants,,,,,,,,,,,,,,,,
"water->unspecified:Surfactants, unspecified",,,,,,,,,,,,,,,,
"water->unspecified:Suspended solids, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Tetradecane,,,,,,,,,,,,,,,,
water->unspecified:Thallium,,,,,,,,,,,,,,,,
water->unspecified:Tin,,,,,,,,,,,,,,,,
"water->unspecified:Titanium, ion",,,,,,,,,,,,,,,,
"water->unspecified:TOC, Total Organic Carbon",,,,,,,,,,,,,,,,
water->unspecified:Toluene,,,,,,,,,,,,,,,,
water->unspecified:Vanadium,,,,,,,,,,,,,,,,
water->unspecified:Xylene,,,,,,,,,,,,,,,,
water->unspecified:Yttrium,,,,,,,,,,,,,,,,
water->unspecified:Zinc,,,,,,,,,,,,,,,,
"Acrylonitrile, at plant",,,,,,,,,,,,,,,,
"Recovered energy, for acrylonitrile",,,,,,,,,,,,,,,,
